id;ident;iata;name;latitude_deg;longitude_deg
784;ETSF;FEL;Furstenfeldbruck Air Base;48.205555;11.266944
786;ETSI;IGS;Ingolstadt Manching Airport;48.71569824;11.5340004
789;ETUO;GUT;Gutersloh Air Base;51.922798;8.30633
790;FAAB;ALJ;Alexander Bay Airport;-28.575001;16.5333
791;FAAG;AGZ;Aggeneys Airport;-29.28179932;18.81389999
793;FABE;BIY;Bisho Airport;-32.89709854;27.27910042
794;FABL;BFN;Bram Fischer International Airport;-29.09269905;26.30240059
797;FACT;CPT;Cape Town International Airport;-33.96480179;18.60169983
799;FALE;DUR;King Shaka International Airport;-29.61444444;31.11972222
800;FAEL;ELS;Ben Schoeman Airport;-33.03559875;27.82589912
802;FAFB;FCB;Ficksburg Sentraoes Airport;-28.82309914;27.90889931
803;FAGC;GCJ;Grand Central Airport;-25.98629951;28.14010048
804;FAGG;GRJ;George Airport;-34.0056;22.378902
810;FAHR;HRS;Harrismith Airport;-28.23509979;29.10619926
811;FAHS;HDS;Hoedspruit Air Force Base Airport;-24.36860085;31.04870033
813;FAOR;JNB;OR Tambo International Airport;-26.1392;28.246
814;FAKD;KXE;P C Pelser Airport;-26.87109947;26.71800041
815;FAKM;KIM;Kimberley Airport;-28.80279922;24.76519966
818;FAKU;KMH;Johan Pienaar Airport;-27.45669937;23.41139984
819;FAKZ;KLZ;Kleinsee Airport;-29.68840027;17.09399986
820;FALA;HLA;Lanseria Airport;-25.93849945;27.92609978
823;FALW;SDB;Langebaanweg Airport;-32.96889877;18.1602993
824;FALY;LAY;Ladysmith Airport;-28.58169937;29.74970055
827;FAMG;MGH;Margate Airport;-30.85740089;30.34300041
831;FAMN;LLE;Riverside Airport;-25.43000031;31.57670021
833;FAMU;MZQ;Mkuze Airport;-27.62610054;32.04430008
834;FANC;NCS;Newcastle Airport;-27.77059937;29.9769001
836;FAOB;OVG;Overberg Airport;-34.55490112;20.2507
837;FAOH;OUH;Oudtshoorn Airport;-33.60699844;22.18899918
838;FAPE;PLZ;Port Elizabeth Airport;-33.98490143;25.61730003
839;FAPG;PBZ;Plettenberg Bay Airport;-34.08816017;23.32872343
840;FAPH;PHW;Hendrik Van Eck Airport;-23.93720055;31.15539932
842;FAPJ;JOH;Port St Johns Airport;-31.60589981;29.51980019
843;FAPM;PZB;Pietermaritzburg Airport;-29.64900017;30.39870071
844;FAPN;NTY;Pilanesberg International Airport;-25.33379936;27.17340088
845;FAPP;PTG;Polokwane International Airport;-23.845269;29.458615
846;FAPS;PCF;Potchefstroom Airport;-26.67099953;27.08189964
848;FAQT;UTW;Queenstown Airport;-31.92020035;26.88220024
849;FARB;RCB;Richards Bay Airport;-28.74099922;32.09209824
851;FARS;ROD;Robertson Airport;-33.81219864;19.90279961
852;FASB;SBU;Springbok Airport;-29.68930054;17.93959999
